article_id,title,sentence,subject,object,relation
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,지방 혁신도시에 입주한 공공기관이 지방은행과의 거래 확대에 소극적이라는 지적도 나온다,공공기관,지방혁신도시 입주,나오
A0001,시중은행에 치이고 인뱅에 밀린 지방은행,"대구·경북은 이전기관 23개 중 한 곳만, 부산도 13곳 중 한 개 기관만 지방은행과 거래하고",,대구 경북 이전기관23개중 한 곳 만 부산 13곳중 한 개기관 만 지방은행 거래,하
A0002,"신한 SOL페이, 고객중심 플랫폼 구축…업계 시장점유율 1위",신한카드의 ‘신한 SOL페이’가 ‘2024 한국산업의 브랜드파워’ 간편결제서비스 부문에서 1위로 선정됐다,신한카드 의 신한SOL페이,2024한국산업 의 브랜드파워 간편 결제서비스부문 에서 1위 로 선정,되
A0002,"신한 SOL페이, 고객중심 플랫폼 구축…업계 시장점유율 1위","신한 SOL페이는 업계 1위 시장 점유율을 차지한 신한카드의 대표 플랫폼으로 결제, 송금, 자산관리, 상품추천 등의 금융 서비스뿐만 아니라 개인 맞춤형 생활 콘텐츠를 제공하는 ‘온리원 라이프 앤드 파이낸스 플랫폼’으로 발돋움하고 있다",,신한카드 의 대표플랫폼 으로 결제 송금 자산관리 상품추천등 의 금융 서비스뿐 만 아니 라 개인맞춤 형 생활콘텐츠,있
A0002,"신한 SOL페이, 고객중심 플랫폼 구축…업계 시장점유율 1위",최근에는 첫 화면 개편을 통해 사용자 편의를 크게 개선했다,,아 사용자편의,하
A0002,"신한 SOL페이, 고객중심 플랫폼 구축…업계 시장점유율 1위","고객이 카드사 앱에서 가장 중시하는 명세서·카드관리·혜택 등의 기능을 첫 화면에 제공했으며, 사용자 분석을 통해 고객이 많이 사용하는 메뉴일수록 상단에 배치해 주요",아 고객,았 으며 사용자분석,하
A0002,"신한 SOL페이, 고객중심 플랫폼 구축…업계 시장점유율 1위",기능에 대한 접근성을 높였다,,접근성,높이
A0002,"신한 SOL페이, 고객중심 플랫폼 구축…업계 시장점유율 1위",특히 신한 SOL페이 내에 신한카드 앱 서비스를 모아놓은 카드홈을 메인 화면의 일부로 편입시키고 기존 PC 홈페이지 사용자 중심이던 UX를 모바일 사용자에게 맞춰 재설계하는 등 서비스 최적화를 통해 사용자 경험을 강화했다,,아 사용자 경험,하
A0002,"신한 SOL페이, 고객중심 플랫폼 구축…업계 시장점유율 1위",또한 고객이 가장 많이 이용하는 10대 메뉴를 선정하고 고객이 불편을 느끼는 페인 포인트를 분석해 UX를 대폭 개선함으로써 이용 편의성을 높였다,고 고객,으로써 이용편의 성,높이
A0002,"신한 SOL페이, 고객중심 플랫폼 구축…업계 시장점유율 1위","이외에 고객 경험의 핵심 요소인 구동 및 화면 전환 속도, UX 라이팅 혁신뿐만 아니라 많은 서비스에 대한 구조조정을 포함한 정보 구조 개선을 통해 고객 중심의 플랫폼으로 진화를 지속하고 있다",,아 고객중심 의 플랫폼 으로 진화,있
A0002,"신한 SOL페이, 고객중심 플랫폼 구축…업계 시장점유율 1위","앞으로도 신한 SOL페이는 카드사 1등 앱이라는 지금까지의 성과에 안주하지 않고 고객이 ‘더 쉽고 편안한, 더 새로운 금융’을 체험할 수 있도록 고객 중심의 디지털 금융 서비스를 강화해나갈",지 않 고 고객,도록 고객중심 의 디지털금융 서비스,하
A0003,"삼성화재, 국내 최초 글로벌 보험 컨퍼런스 KIIC 개최",사진=삼성화재삼성화재는 국내 최초로 글로벌 보험 컨퍼런스인 KIIC를 지난 4일부터 이틀 간 인천 영종도 인스파이어 리조트에서 열었다고 6일 밝혔다,,사진 삼성화재삼성화재 국내최초 로 글로벌보험컨퍼런스 KIIC,밝히
A0003,"삼성화재, 국내 최초 글로벌 보험 컨퍼런스 KIIC 개최","삼성화재가 주최하고 손해보험협회, 화재보험협회, 보험개발원, 보험연구원 등 국내 보험 유관기관이 공동 후원으로 참여한 이번 컨퍼런스는 손해보험업의 불확실성을 극복하기 위한 의견을 공유하고, 국내 시장에 대한 이해도를 높이기 위해 마련됐다",고 손해보험협회 화재보험협회 보험개발원 보험연구원등국내보험유관기관,이해도,되
A0003,"삼성화재, 국내 최초 글로벌 보험 컨퍼런스 KIIC 개최",16개국 88개사에서 500여명의 보험 전문가들이 참여했다,16개국88개사 에서 500여명 의 보험전문가 들,참여,하
A0003,"삼성화재, 국내 최초 글로벌 보험 컨퍼런스 KIIC 개최",참가자들은 오전 세션을 통해 인공지능과 관련된 특별 강연을 듣고 보험업에 AI를 적용하기 위한 방안을 논의했다,,방안,하
A0003,"삼성화재, 국내 최초 글로벌 보험 컨퍼런스 KIIC 개최","조성준 서울대 산업공학과 교수가 ‘AI 비즈니스 기회’, 손재희 보험연구원 실장은 ‘보험 산업의 AI 활용과 과제’, 파비안 빈터 뮌헨재보험 박사는 ‘뮌헨재보험의 생성형 AI 전략’에 대해 각각 발표했다",조성준서울대산업공학 교수,AI비즈니스기회 손재희보험연구원실장 보험산업 의 AI활용 과제 파비아 빈터뮌헨재보험박사 뮌헨재보험 의 생성 형 AI전략,하
A0003,"삼성화재, 국내 최초 글로벌 보험 컨퍼런스 KIIC 개최",이어 정광민 포스텍 교수는 발표자들과 ‘AI와 보험 가치 사슬의 변화’에 대한 대담을 진행했다,,대담,하
A0003,"삼성화재, 국내 최초 글로벌 보험 컨퍼런스 KIIC 개최","오후 세션에서는 엄준식 손해보험협회 팀장이 ‘한국 손해보험산업 발전에 대한 통찰’, 홍성호 보험개발원 일반손해보험실장이 ‘한국 손해보험시장 개요’에 대해 각각 발표했다",통찰 홍성호보험개발원일반손해보험실장,한국손해보험산업발전,하
A0003,"삼성화재, 국내 최초 글로벌 보험 컨퍼런스 KIIC 개최",이어 △한국 보험시장의 이해 △전기기반 리스크 대응 △학술 연구를 주제로 세 개의 분과 세션이 동시에 진행됐다,주제 로 세 개 의 분과세션,이어 한국보험시장 의 이해 전기기반리스크대응 학술연구,되
A0003,"삼성화재, 국내 최초 글로벌 보험 컨퍼런스 KIIC 개최","각 분과에는 코리안리, 화재보험협회, 한국건설기술연구원, 국립한국해양대, 삼성화재, 포스텍, 보험연구원의 여러 전문가가 참여했다",각 분과 는 코리안리 화재보험협회 한국건설기술연구원 국립한국해양 대 삼성화재 포스텍 보험연구원 의 여러 전문가,참여,하
A0003,"삼성화재, 국내 최초 글로벌 보험 컨퍼런스 KIIC 개최",이문화 삼성화재 대표는 개회사를 통해 “한국 보험시장이 규모로는 세계 7위의 시장으로 성장했지만 선진 보험시장에 비해 불확실성에 대응하기 위한 교류가 부족했다”며 “이번 컨퍼런스 개최를 계기로 한국 시장이 새로운 트렌드를 반영한 성장과 발전의 장이 될 수 있도록 노력하겠다”고,계기 로 한국시장,새롭 트렌드,하
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행",스미트러스트 상무 등 관계자들이 서울 삼성동 ‘하나 시니어 라운지’ 개점 행사에서 기념촬영을 하고 있다,스미트러스트상무등관계자 들,서울삼성동 하나시니어라운지 개점행사 에서 기념촬영,있
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행","하나은행 제공하나은행은 초고령화 시대를 대비해 자산관리, 증여, 상속, 기부, 연금 등에 대한 컨설팅과 실행이 가능한 ‘하나 시니어 라운지’를 오픈하고 금융권 최초로 '유산정리서비스'를 시행한다고 18일 밝혔다",컨설팅 실행,고 금융 권 최초 로 유산정리서비스,밝히
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행",‘하나 시니어 라운지’는 서울 삼성동 Place1빌딩 4층에 위치하고 있다,,하나시니어라운지 서울삼성동Place1빌딩4 층 위치,있
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행","금융권 최초로 시행하는 이번 유산정리서비스는 유언장의 작성과 상속 재산의 분할 등을 위한 상속 집행 전문 센터로 생전의 자산관리부터 유언장의 보관, 상속집행, 유산정리에 이르기까지 자산관리의 전 분야에 대한 원스톱 서비스를 지원한다",,원스톱서비스,하
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행",최근 고령인구의 증가로 상속 건수가 증가하고 유가족 사이에서 발생할 수 있는 분쟁 가능성 또한 높아지고 있다,최근고령인구 의 증가 로 상속건수,증가,있
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행",이에 금융기관을 통해 자산 상속을 객관적으로 집행해 분쟁을 최소화하려는 니즈가 증가하고 있다는 게 하나은행의 설명이다,려는 니즈,아 분쟁,있
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행",‘하나 시니어 라운지’에서는 하나은행의 리빙트러스트센터 소속 각 분야의 전문가들이 △신탁을 통한 상속 증여 컨설팅 △유언장의 보관 및 집행 △유언대용 신탁 또는 유언장 작성 없이 상속을 맞게 된 상속인들을 위한 유산정리서비스 등을 지원한다,하나시니어라운지 에서 하나은행 의 리빙트러스트센터소속 각 분야 의 전문가 들,유산정리서비스등,하
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행",또한 하나금융그룹과 전략적 제휴관계를 맺고 있는 일본의 신탁전문은행인 ‘스미트러스트’와 협업을 통해 유산정리 서비스의 30년 노하우를 접목할 예정이다,,아 유산정리서비스 의 30년노하우,하
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행","또 국내 유수의 법무법인과 세무법인, 종합병원 등과 협업해 상속과 관련된 모든 전문기관을 연결하여 상속집행과 관련한 전문 플랫폼으로서의 역할을 수행할 계획이다",,전문플랫폼 으로서 의 역할,하
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행",‘하나 시니어 라운지’ 에서는 매월 손님들을 위한 다양한 프로그램도 진행한다,,하나시니어라운지 에서 매월 손님 들,하
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행",△유언장 작성 체험 △상속과 관련된 법률 및 세무 △후견과 시니어의 건강 등 다양한 주제로 노후의 삶과 상속에 대한 부분을 차근차근 준비할 수 있도록 교육 프로그램을 제공한다,,도록 교육 프로그램,하
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행","김영훈 하나은행 자산관리그룹장은 “최근 고령인구의 증가와 비혼 등 가족 구조의 다변화에 따라 자산의 원활한 승계를 위한 손님들의 니즈가 지속적으로 증가하고 있다”며 “하나은행은 금융, 법률, 세무, 부동산 등 각 전문분야를 하나로 연결한 유산정리서비스를 통해 상속으로 고민하는 모든 손님들에게 최적의 솔루션을 제공하겠다” 고 밝혔다",손님 들 의 니즈,는 모든 손님 들 에게 최적 의 솔루션,밝히
A0004,"하나은행, 금융권 최초 상속인 위한 '유산정리서비스' 시행","한편 ‘하나 시니어 라운지’가 위치한 삼성동 Place1빌딩은 하나은행 자산관리를 책임지고 있는 클럽원 프라이빗뱅킹센터와 연금 더 드림 라운지, 하나증권이 함께 자리하고",는 클럽원프라이빗뱅킹센터 연금더 드림라운지 하나증권,삼성동Place1빌딩 하나은행자산관리,하
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연","지난 22일 서울 명동 은행회관에서 열린 '은행권 서민금융진흥원 출연 협약식'에서 이형주 카카오뱅크 최고비즈니스책임자와 조용병 은행연합회장, 이재연 서민금융진흥원장이 기념촬영을 하고 있다",은행 권 서민금융진흥원출연협약식 에서 이형주카카오뱅크최고비즈니스책임자 조용병은행연합회장 이재연서민금융진흥원장,기념촬영,있
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",카카오뱅크 제공카카오뱅크는 금융취약계층 지원을 위해 서민금융진흥원에 80억원을 출연하기로 했다고 23일 밝혔다,,아 서민금융진흥원 80억원,밝히
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",80억원의 출연금은 서민금융진흥원이 보증하는 ‘햇살론15’와 같은 정책서민금융 상품의 추가적인 공급에 사용될 계획이다,80억원 의 출연금 서민금융진흥원,보증,되
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",이번 출연은 은행권이 금융 취약계층을 돕기 위해 추진하기로 한 '민생금융지원'의 자율 프로그램에 동참하는 차원에서 이뤄졌다,이번출연 은행 권,금융 취약 계층,이루어지
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",카카오뱅크는 지난 1월 은행권 민생금융지원방안에 참여해 자영업자와 소상공인을 대상으로 372억원을 지원하겠다는 계획을 밝힌 바 있다,,겠 다는 계획,있
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연","개인사업자대출 보유 고객을 대상으로 이자지원 프로그램을 운영하고, 금융취약계층을 위한 자율 프로그램을 진행할 계획이다",,자율프로그램,하
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",카카오뱅크는 민생금융지원 자율 프로그램을 운영하기 위한 ‘상생금융 태스크포스'도 신설했다,,카카오뱅크 민생금융지원자율프로그램,하
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",‘상생금융TF’는 각 사업부에서 개별적으로 추진 중인 상생금융 관련 업무를 통합해 관리하고 운영한다,,상생금융TF 각 사업부 에서 개별 적 으로 추진중 상생금융관련업무,하
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",이를 통해 카카오뱅크는 금융취약계층에 대한 금전적 지원부터 사회공헌까지 다양한 활동을 펼칠 예정이다,,금전 적 지원 부터 사회공헌 까지 다양 하 활동,펼치
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연","이번 서민금융진흥원 출연에 이어 개인사업자 및 소상공인, 청소년·노인 등 금융취약계층을 두텁게 지원하는 방안을 마련했다",,는 방안,하
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",우선 카카오뱅크 개인사업자 보증서대출 이용 고객에게 보증료 절반을 지원한다,,우선 카카오뱅크개인사업자보증서대출이용고객 에게 보증료절반,하
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",'개인사업자 이자지원 보증서대출'을 추가로 실행한 고객은 보증료 절감 혜택을 최대 연간 2회까지 받을 수 있다,,고객 보증료절감혜택,있
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연",지역 소상공인들을 위한 포용금융 행보도 이어간다,,지역소상공인 들,위하
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연","카카오뱅크는 지난해 8개 지역 신용보증재단과의 협약을 통해 30억원을 출연해 약 500억원 규모의 소상공인 상생 협약 보증 대출을 지원했는데, 올해에도 가입 가능 지역을 더욱 확대하고 협약 규모 및 출연금을 늘려갈 계획이다",,고 협약규모 및 출연금,늘리
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연","영세 소상공인을 위한 임대료 및 난방비도 지원하며 ‘청소년 정보기술 코딩 교육 프로그램’, ‘고령자 IT 교육 및 금융사기 예방 교육 프로그램’ 등도 운영할 방침이다",,영세소상공인,하
A0005,"카뱅, 취약계층 지원 위해 서민금융진흥원에 80억원 출연","카카오뱅크 관계자는 “경기 침체로 어려움을 겪고 있는 금융취약계층의 어려움을 분담하고자 서민금융진흥원에 출연하게 됐다”며 “이번 출연 뿐만 아니라 개인사업자 보증료 지원, 지역 신용보증재단 협약 등 다양한 노력을 통해 포용금융 활동을 더욱 강화하겠다”고",,아 포용금융활동,하
